datetime,timestamp,open,high,low,close,volume
2025-05-23 15:00:00,1748012400,0.7862,0.7889,0.7772,0.7775,1859582.57333082
2025-05-23 16:00:00,1748016000,0.7777,0.7809,0.7708,0.7785,2021746.54568849
2025-05-23 17:00:00,1748019600,0.7787,0.7853,0.7779,0.7809,1312069.95196139
2025-05-23 18:00:00,1748023200,0.781,0.783,0.7724,0.7737,2062455.56824587
2025-05-23 19:00:00,1748026800,0.7736,0.7788,0.7722,0.7736,1760190.08736989
2025-05-23 20:00:00,1748030400,0.7733,0.7737,0.7644,0.7652,2038203.4370541
2025-05-23 21:00:00,1748034000,0.7649,0.7686,0.7587,0.7624,2492598.84438079
2025-05-23 22:00:00,1748037600,0.7625,0.7661,0.7557,0.7572,2181639.15879946
2025-05-23 23:00:00,1748041200,0.7572,0.7584,0.7434,0.7474,4940268.07205142
2025-05-24 00:00:00,1748044800,0.7472,0.7545,0.743,0.7443,2798499.68362435
2025-05-24 01:00:00,1748048400,0.7443,0.7529,0.7431,0.7491,1730365.24564827
2025-05-24 02:00:00,1748052000,0.7491,0.7557,0.7469,0.7551,910263.29794711
2025-05-24 03:00:00,1748055600,0.7552,0.7637,0.7542,0.762,2165610.89439464
2025-05-24 04:00:00,1748059200,0.762,0.7671,0.7599,0.7652,1078797.69908938
2025-05-24 05:00:00,1748062800,0.7651,0.7662,0.7578,0.7601,541293.55544308
2025-05-24 06:00:00,1748066400,0.7602,0.763,0.7551,0.759,479358.9694283
2025-05-24 07:00:00,1748070000,0.759,0.7634,0.7566,0.7576,423857.93505456
2025-05-24 08:00:00,1748073600,0.7576,0.7607,0.7536,0.7558,155860.16673957
